Team ;Player;Nationality;Position;Appearences;Goals;Assists;Passes;Interceptions;Tackles;Fouls;Price
Tottenham Hotspur;Kieran Trippier;England;Defender;27;1;3;1542;23;67;20;31.50
Tottenham Hotspur;Danny Rose;England;Defender;26;0;3;929;24;49;26;22.50
Tottenham Hotspur;Jan Vertonghen;Belgium;Defender;22;1;0;1531;32;38;10;27.00
Tottenham Hotspur;Toby Alderweireld;Belgium;Defender;34;0;0;2358;24;37;10;36.00
Tottenham Hotspur;Moussa Sissoko;France;Midfielder;29;0;3;1348;16;36;24;16.20
Tottenham Hotspur;Christian Eriksen;Denmark;Midfielder;35;8;12;1872;15;41;17;76.50
Tottenham Hotspur;Dele Ali;England;Midfielder;25;5;3;1028;19;33;23;90.00
Tottenham Hotspur;Lucas Moura;Brazil;Midfielder;32;10;0;723;24;34;25;28.80
Tottenham Hotspur;Son Heung-Min;South Korea;Forward;31;12;6;752;8;23;12;58.50
Tottenham Hotspur;Harry Kane;England;Forward;28;17;4;551;1;9;31;135.00
